2025-12-29T07:49:28.591Z -Current meory usage: 26.49 
2025-12-29T07:49:31.602Z -Current meory usage: 26.52 
2025-12-29T07:49:34.606Z -Current meory usage: 26.46 
2025-12-29T07:49:37.611Z -Current meory usage: 26.45 
2025-12-29T07:49:40.617Z -Current meory usage: 26.45 
2025-12-29T07:49:43.624Z -Current meory usage: 26.53 
2025-12-29T07:49:46.640Z -Current meory usage: 26.55 
2025-12-29T07:49:49.652Z -Current meory usage: 26.34 
2025-12-29T07:49:52.662Z -Current meory usage: 26.39 
2025-12-29T07:49:55.675Z -Current meory usage: 26.33 
2025-12-29T07:49:58.691Z -Current meory usage: 26.37 
2025-12-29T07:50:01.703Z -Current meory usage: 26.42 
2025-12-29T07:50:04.716Z -Current meory usage: 26.42 
2025-12-29T07:50:07.728Z -Current meory usage: 26.44 
2025-12-29T07:50:10.738Z -Current meory usage: 26.38 
2025-12-29T07:50:13.750Z -Current meory usage: 26.41 
2025-12-29T07:50:16.765Z -Current meory usage: 26.43 
2025-12-29T07:50:19.772Z -Current meory usage: 26.41 
2025-12-29T07:50:22.783Z -Current meory usage: 26.44 
2025-12-29T07:50:25.796Z -Current meory usage: 26.24 
2025-12-29T07:50:28.798Z -Current meory usage: 26.26 
2025-12-29T07:50:31.805Z -Current meory usage: 26.27 
2025-12-29T07:50:34.819Z -Current meory usage: 26.28 
2025-12-29T07:50:37.831Z -Current meory usage: 26.34 
2025-12-29T07:50:40.839Z -Current meory usage: 26.32 
2025-12-29T07:50:43.847Z -Current meory usage: 26.34 
2025-12-29T07:50:46.862Z -Current meory usage: 26.34 
2025-12-29T07:50:49.873Z -Current meory usage: 26.37 
2025-12-29T07:50:52.888Z -Current meory usage: 26.36 
2025-12-29T07:50:55.901Z -Current meory usage: 26.31 
2025-12-29T07:50:58.917Z -Current meory usage: 26.25 
2025-12-29T07:51:01.924Z -Current meory usage: 26.28 
2025-12-29T07:51:04.936Z -Current meory usage: 26.29 
2025-12-29T07:51:07.948Z -Current meory usage: 26.25 
2025-12-29T07:51:10.961Z -Current meory usage: 26.30 
2025-12-29T07:51:13.965Z -Current meory usage: 25.98 
2025-12-29T07:51:16.970Z -Current meory usage: 25.71 
2025-12-29T07:51:19.970Z -Current meory usage: 25.09 
2025-12-29T07:51:22.981Z -Current meory usage: 25.30 
2025-12-29T07:51:25.985Z -Current meory usage: 25.64 
2025-12-29T07:51:28.999Z -Current meory usage: 25.77 
2025-12-29T07:51:32.009Z -Current meory usage: 25.64 
2025-12-29T07:51:35.016Z -Current meory usage: 25.69 
2025-12-29T07:51:38.025Z -Current meory usage: 25.71 
2025-12-29T07:51:41.036Z -Current meory usage: 25.71 
2025-12-29T07:51:44.042Z -Current meory usage: 25.79 
2025-12-29T07:51:47.053Z -Current meory usage: 25.49 
2025-12-29T07:51:50.065Z -Current meory usage: 25.70 
2025-12-29T07:51:53.069Z -Current meory usage: 25.70 
2025-12-29T07:51:56.085Z -Current meory usage: 25.68 
2025-12-29T07:51:59.098Z -Current meory usage: 26.22 
2025-12-29T07:52:02.106Z -Current meory usage: 26.22 
2025-12-29T07:52:05.107Z -Current meory usage: 26.22 
2025-12-29T07:52:08.110Z -Current meory usage: 26.17 
2025-12-29T07:52:11.125Z -Current meory usage: 26.14 
2025-12-29T07:52:14.138Z -Current meory usage: 26.22 
2025-12-29T07:52:17.155Z -Current meory usage: 26.19 
2025-12-29T07:52:20.167Z -Current meory usage: 26.26 
2025-12-29T07:52:23.173Z -Current meory usage: 26.26 
2025-12-29T07:52:26.183Z -Current meory usage: 26.33 
2025-12-29T07:52:29.194Z -Current meory usage: 26.41 
2025-12-29T07:52:32.205Z -Current meory usage: 26.40 
2025-12-29T07:52:35.221Z -Current meory usage: 26.24 
2025-12-29T07:52:38.229Z -Current meory usage: 26.33 
2025-12-29T07:52:41.232Z -Current meory usage: 26.28 
2025-12-29T07:52:44.233Z -Current meory usage: 26.54 
2025-12-29T07:52:47.242Z -Current meory usage: 26.42 
2025-12-29T07:52:50.255Z -Current meory usage: 26.39 
2025-12-29T07:52:53.266Z -Current meory usage: 26.35 
2025-12-29T07:52:56.277Z -Current meory usage: 26.35 
2025-12-29T07:52:59.278Z -Current meory usage: 26.32 
2025-12-29T07:53:02.289Z -Current meory usage: 26.23 
2025-12-29T07:53:05.301Z -Current meory usage: 26.47 
2025-12-29T07:53:08.311Z -Current meory usage: 26.48 
2025-12-29T07:53:11.324Z -Current meory usage: 26.51 
2025-12-29T07:53:14.335Z -Current meory usage: 26.49 
2025-12-29T07:53:17.343Z -Current meory usage: 26.59 
2025-12-29T07:53:20.352Z -Current meory usage: 26.53 
2025-12-29T07:53:23.361Z -Current meory usage: 26.66 
2025-12-29T07:53:26.364Z -Current meory usage: 26.51 
2025-12-29T07:53:29.378Z -Current meory usage: 26.71 
2025-12-29T07:53:32.385Z -Current meory usage: 26.77 
2025-12-29T07:53:35.396Z -Current meory usage: 26.79 
2025-12-29T07:53:38.409Z -Current meory usage: 26.70 
2025-12-29T07:53:41.419Z -Current meory usage: 26.78 
2025-12-29T07:53:44.433Z -Current meory usage: 26.70 
2025-12-29T07:53:47.447Z -Current meory usage: 26.74 
2025-12-29T07:53:50.460Z -Current meory usage: 26.66 
2025-12-29T07:53:53.472Z -Current meory usage: 26.70 
2025-12-29T07:53:56.483Z -Current meory usage: 26.73 
2025-12-29T07:53:59.495Z -Current meory usage: 26.69 
2025-12-29T07:54:02.498Z -Current meory usage: 26.54 
2025-12-29T07:54:05.511Z -Current meory usage: 26.72 
2025-12-29T07:54:08.514Z -Current meory usage: 26.72 
2025-12-29T07:54:11.521Z -Current meory usage: 26.69 
2025-12-29T07:54:14.523Z -Current meory usage: 26.52 
2025-12-29T07:54:17.534Z -Current meory usage: 26.55 
2025-12-29T07:54:20.540Z -Current meory usage: 26.57 
2025-12-29T07:54:23.542Z -Current meory usage: 26.60 
2025-12-29T07:54:26.553Z -Current meory usage: 26.58 
2025-12-29T07:54:29.556Z -Current meory usage: 26.66 
2025-12-29T07:54:32.565Z -Current meory usage: 26.65 
2025-12-29T07:54:35.568Z -Current meory usage: 26.60 
2025-12-29T07:54:38.576Z -Current meory usage: 26.58 
2025-12-29T07:54:41.581Z -Current meory usage: 26.80 
2025-12-29T07:54:44.590Z -Current meory usage: 26.42 
